,Names,Specialization,Experience,Hospital_Name,Area,City,Consultation_Fee,Doctor_recommondations,Patient_Stories,Doctor_availability
1278,Dr. Supra Paul,Homoeopath,22,Dr Batra's Positive Health Clinic Pvt Ltd,Minto Park,Kolkata,450,100,8, Today
1279,Dr. Abhishek Chaturvedi,Homoeopath,12,Dr Batra's Positive Health Clinic Pvt Ltd,Behala,Kolkata,450,86,6, Today
1280,Dr. Chinmay Mahanta,Homoeopath,19,Dr Batra's Positive Health Clinic Pvt Ltd,Kolkatta,Kolkata,450,100,1, Today
1281,Dr. Shahid Shaikh,Homoeopath,18,Dr Batra's Positive Health Clinic Pvt Ltd,Salt Lake,Kolkata,450,100,1, Today
1286,Dr. Shambulingaiah S. Hiremath,Ayurveda,38,Shree  Dhanvantari Ayurveda Hospital,Rajajinagar,Bangalore,250,98,609, Today
1287,Dr. Anuja Marawar,Ayurveda,23,Keva Ayurveda,Whitefield,Bangalore,450,95,72, Today
1288,Dr. Phanindra V V,Ayurveda,15,Narayana Ayurveda Kuteeram,Banashankari,Bangalore,400,99,273, Today
1289,Dr. Kamal Bhalla,General Physician,26,Manipal Hospital,Jayanagar 9 Block,Bangalore,650,85,9, Today
1290,Dr. Vinay,Ayurveda,14,Varaprada Ayurvedic Centre,Basavanagudi,Bangalore,300,99,155, Today
1291,Dr. Sunil S Bohra,General Physician,22,Fortis Hospital,Richmond Town,Bangalore,600,95,46, Today
1292,Dr. Girikumar Venati,General Physician,16,Fortis Hospital,Bannerghatta Road,Bangalore,850,91,26, Today
1294,Dr. Prabha Ramadorai,General Physician,25,Nano Hospitals,Hulimavu,Bangalore,500,89,41, Today
1295,Dr. Anilkumar A Kustagi,General Physician,18,Fortis Hospital,Bannerghatta Road,Bangalore,850,78,26, Today
1297,Dr. K Sandeep Reddy,General Physician,15,Pro Health Multispecialty Clinic,Manikonda,Hyderabad,500,77,26, Today
1298,Dr. P. Ramu,General Physician,27,Jayaa Hospital,Miyapur,Hyderabad,500,93,50, Today
1299,Dr. Meka Satyanarayana,General Physician,41,Aswini Clinic,Kukatpally,Hyderabad,900,96,338, Today
1301,Dr. Sharath Chandra,General Physician,11,Health Care 360 Clinics,Santosh Nagar,Hyderabad,800,100,6, Today
1302,Dr. Neehar Potluri,General Physician,23,Neehar Neuro Centre,Kukatpally,Hyderabad,500,98,449, Today
1304,Dr. Murali Yelchuri,General Physician,17,Srikara Hospitals,Miyapur,Hyderabad,600,92,15, Today
1305,Dr. D.Uma Sreedevi,General Physician,27,Aster Prime Hospital,Ameerpet,Hyderabad,700,80,3, Today
1306,Dr. S Sarangapani,Ayurveda,43,Sai Bharadwaja Advanced Ayurveda Hospital,Erragadda,Hyderabad,500,99,146, Today
1309,Dr. Rajesh Verma,General Physician,28,Bliss Medicare Centre,Vadapalani,Chennai,600,95,161, Today
1310,Dr. Pravin K Aggarwal,General Physician,42,Fortis Malar Hospital,Adyar,Chennai,700,85,5, Today
1311,Dr. Poonam Verma,Ayurveda,27,Bliss Medicare Centre,Vadapalani,Chennai,600,96,17, Today
1312,Dr. Sheethal Suresh,General Physician,30,Fortis Malar Hospital,Adyar,Chennai,500,80,6, Today
1316,Dr. Raj Madhangi,General Physician,10,Apollo Spectra Hospital,Alwarpet,Chennai,700,100,1, Today
1317,Dr. Ananth Padmanaban,General Physician,42,Fortis Malar Hospital,Adyar,Chennai,700,25,6, Today
1318,Dr. D Srikrishna,Ayurveda,12,Shree Ayurvedic Multispeciality Hospital,West Mambalam,Chennai,500,98,76, Today
1321,Dr. Nitin R Kochar,Ayurveda,28,Gurukrupa Ayurvedic Clinic,Goregaon West,Mumbai,2000,96,108, Today
1322,Dr. Sunita Jonwal,Ayurveda,15,Dr. Jonwal's NapAyurVeda Panchkarm & Wellness,Kandivali West,Mumbai,800,90,132, Today
1323,Dr. Sanjay Shah,General Physician,38,Fortis Hospital,Mulund West,Mumbai,1500,87,10, Today
1324,Dr. Anshudeep Dodake,General Physician,12,Health Omega Clinic,Parel,Mumbai,500,100,18, Today
1325,Dr. Ram Krishna Modi,General Physician,45,Fortis Hospital,Mulund West,Mumbai,1500,69,7, Today
1326,Dr. Pradip Padamsi Shah,General Physician,43,Fortis Hospital,Mulund West,Mumbai,1500,69,8, Today
1327,Dr. Raman Shenoy,General Physician,24,Fortis Hospital,Mulund West,Mumbai,1500,100,1, Today
1330,Dr. Anil  Bhoraskar,General Physician,45,S L Raheja Fortis Hospital,Mahim,Mumbai,4300,100,3, Today
1333,Dr. Arunesh Dutt Upadhyay,General Physician,37,Dr. Upadhyay's Clinic,Tingare Nagar,Pune,750,96,252, Today
1334,Dr. Pramod B. Umarji,General Physician,46,Umarji Mother & Child Care,Baner,Pune,600,88,14, Today
1335,Dr. Prashant Daundkar Patil,Ayurveda,18,Shree Ayurved and Panchakarma Hospital,Chandan Nagar,Pune,350,88,60, Today
1336,Dr. Rajeev Nambiar,Ayurveda,31,Dr. Nambiar's Advanced Ayurvedic Remedy,Aundh,Pune,500,98,77, Today
1337,Dr. Pradeep R Chaudhari,Ayurveda,15,Sai Sparsh Aayurved Clinic and Panchakarma Therapies,Baner,Pune,400,100,4, Today
1338,Dr. Adesh Karwa,Ayurveda,20,Ayurveda Clinic,Aundh,Pune,500,99,162, Today
1339,Dr. Mukesh Mahajan,General Physician,16,Phoenix Speciality Clinic,Keshav Nagar,Pune,400,98,49, Today
1340,Dr. Deepa Karwa,Ayurveda,15,Ayurveda Clinic,Aundh,Pune,500,99,100, Today
1341,Dr. Gopal Jaju,General Physician,12,Om Clinic,Kharadi,Pune,500,98,25, Today
1346,Dr. Sudha Asokan,Ayurveda,44,Dr. Sudha's Ayurveda Kendra,Safdarjung Enclave,Delhi,1200,96,105, Today
1347,Dr. Vivek Pal Singh,General Physician,18,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1800,100,1, Today
1348,Dr. Hari Kumar Yadav,General Physician,16,Max Super Speciality Hospital - Saket East Wing,Saket,Delhi,800,100,1, Today
1349,Dr. Amarpreet Singh Riar,General Physician,10,Aman Medical Clinic,Dwarka,Delhi,1000,96,505, Today
1352,Dr. Sanchayan Roy,General Physician,25,Health First Wellness Centre,CR Park,Delhi,800,90,88, Today
1353,Dr. Anirban Biswas,General Physician,21,Biswas Heart And Mind Clinic,CR Park,Delhi,1000,90,87, Today
1354,Dr. Alok Joshi,General Physician,40,Max Super Speciality Hospital,Shalimar Bagh,Delhi,800,100,4, Today
1356,Dr. Saibal Moitra,General Physician,26,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,1000,69,21, Today
1357,Dr. Amitabha Saha,General Physician,22,AMRI Hospitals,Mukundapur,Kolkata,1200,73,9, Today
1360,Dr. Shyama Prasad Roy,General Physician,37,Binapani Doctor's Chamber,Jadavpur,Kolkata,700,79,8, Today
1361,Dr. Sandip Rungta,General Physician,23,Mansa Sheel,Beadon Street,Kolkata,700,99,312, Today
1362,Dr. Sasanka Chowdhury,Ayurveda,13,Sriveda,Rajarhat,Kolkata,800,100,23, Today
1363,Dr. Sourav Dhara,General Physician,13,Allura Aesthestic clinic & Diagnostics,Kolkata Airport,Kolkata,600,100,1, Today
1364,Dr. Debasish Pahari,Ayurveda,28,Dirghayu Ayurveda,Thakurpukur,Kolkata,800,100,22, Today
1365,Dr. Prabhat Kumar Bal,Ayurveda,25,Sanjeeva,New Town,Kolkata,600,88,6, Today
1411,Dr. Prashant Dinesh,General Physician,21,Dr. Prashant's Clinic,Ulsoor,Bangalore,600,99,207, Today
1412,Dr. Leelamohan PVR,General Physician,14,Padithem Health Care,HSR Layout,Bangalore,750,90,517, Today
1413,Dr. Shivaram HR,General Physician,22,Viveks Multi Speciality Clinic & Diagnostics,Kanakpura Road,Bangalore,600,96,266, Today
1414,Dr. Malathi Ramesh,General Physician,31,Dr. Mercy's  Clinic,HSR Layout,Bangalore,500,98,263, Today
1415,Dr. Dhananjay Bhaskarachrar,General Physician,22,Dinka Multispeciality Clinic and Center for Diabetes,Bommanahalli,Bangalore,500,96,48, Today
1416,Dr. Uma. M,General Physician,14,Jessi's Clinic,Electronics City,Bangalore,500,98,219, Today
1417,Dr. Sunil Havannavar,General Physician,20,Manipal Hospital,Sarjapur Road,Bangalore,700,88,25, Today
1418,Dr. Dwijendra Prasad,General Physician,22,Prakriya Hospitals,Nagasandra,Bangalore,400,81,40, Today
1419,Dr. Ravishankar Reddy C. R.,General Physician,30,Marvel Multispeciality Hospital,Koramangala 1 Block,Bangalore,1000,88,240, Today
1420,Dr. Rajendra Prasad,General Physician,36,Apollo Clinic,Indiranagar,Bangalore,650,60,50, Today
1422,Dr. P. Ramu,General Physician,27,Jayaa Hospital,Miyapur,Hyderabad,500,93,50, Today
1423,Dr. Neelwanti Soni,General Physician,20,Apollo Medical  Centre,Kondapur,Hyderabad,450,88,165, Today
1424,Dr. Vikram Cheryala,General Physician,12,Vicinity Clinics,Kokapet,Hyderabad,600,99,208, Today
1425,Dr. N.V. Ramana Rao,General Physician,26,Revive Clinics & Fertility Center,Nallagandla,Hyderabad,1000,99,505, Today
1426,Dr. Murali Yelchuri,General Physician,17,Srikara Hospitals,Miyapur,Hyderabad,600,92,15, Today
1427,Dr. Meka Satyanarayana,General Physician,41,Aswini Clinic,Kukatpally,Hyderabad,900,96,338, Today
1428,Dr. Manish Dugar,General Physician,19,Apollo Hospitals,Jubilee Hills,Hyderabad,1000,88,10, Today
1429,Dr. Subhash Chander,General Physician,51,New Life Speciality Homeo Care,Jeedimetla,Hyderabad,700,94,217, Today
1430,Dr. S. Ravindra Kumar,General Physician,31,Aster Prime Hospital,Ameerpet,Hyderabad,500,75,6, Today
1431,Dr. Venkatesh Billakanti,General Physician,15,Relief Clinic,Manikonda,Hyderabad,500,86,35, Today
1434,Dr. Magdum Bathusha,General Physician,9,Dr.Rohith's clinic,Pallavaram,Chennai,300,100,49, Today
1435,Dr. Hariharan V.S,General Physician,20,Gleneagles Global Health City,Perumbakkam,Chennai,500,86,7, Today
1436,Dr. T. Vijay,General Physician,25,Dr. Vijay's Hospital,Mogappair East,Chennai,400,99,353, Today
1437,Dr. Rajesh Verma,General Physician,28,Bliss Medicare Centre,Vadapalani,Chennai,600,95,161, Today
1438,Dr. Pravin K Aggarwal,General Physician,42,Fortis Malar Hospital,Adyar,Chennai,700,85,5, Today
1439,Dr. Janani Karthik,General Physician,12,Dr. Janani'S Diabetes Clinic,Alwarpet,Chennai,400,98,84, Today
1440,Dr. Sheethal Suresh,General Physician,30,Fortis Malar Hospital,Adyar,Chennai,500,80,6, Today
1441,Dr. Spoorthi Arun Velagapalli,General Physician,21,Promed Hospital,Kottivakkam,Chennai,750,100,17, Today
1442,Dr. Saravanan Lakshmanan,General Physician,24,GSSSS Clinics,Kotturpuram,Chennai,400,89,35, Today
1443,Dr. Magesh Thirunavukkarasu,General Physician,18,Sri Radha Bai Clinic,KK Nagar,Chennai,400,98,64, Today
1445,Dr. Kalpana B Tiwari,General Physician,12,Dr. Tiwari's Clinic,Chembur,Mumbai,600,100,32, Today
1446,Dr. Akshay Jain,General Physician,9,Jain Diagnostic Centre,Lower Parel,Mumbai,500,99,108, Today
1447,Dr. Shubhashree Patil,General Physician,18,Diabetes And Wellness Clinic,Andheri East,Mumbai,1300,99,244, Today
1448,Dr. Sanjay Shah,General Physician,38,Fortis Hospital,Mulund West,Mumbai,1500,87,10, Today
1449,Dr. Akshaya Shetty,General Physician,11,Shetty's Care Clinic,Andheri East,Mumbai,600,99,21, Today
1450,Dr. Vaijayanti Mahajan,General Physician,24,Dr Mahajan's Clinic,Bandra East,Mumbai,1000,96,32, Today
1451,Dr. Shradha Doshi,General Physician,12,Care2Cure Medical Services,Mulund West,Mumbai,900,100,7, Today
1452,Dr. Shoibalini Karmokar,General Physician,3,Aceso Health Clinic,Santacruz West,Mumbai,900,95,14, Today
1453,Dr. Vasudev,General Physician,24,Liver Gastro Endoscopy Centre,Bhandup West,Mumbai,2000,87,123, Today
1454,Dr. Samvaad Shetty,General Physician,11,Dr.Samvaad Shetty's Clinic,Andheri East,Mumbai,1200,100,19, Today
1456,Dr. Arunesh Dutt Upadhyay,General Physician,37,Dr. Upadhyay's Clinic,Tingare Nagar,Pune,750,96,252, Today
1457,Dr. Narayan Survase,General Physician,26,NRS Hospital,Wakad,Pune,600,84,90, Today
1458,Dr. Ravindra Chhajed,General Physician,28,Harsh Hospital,Market Yard,Pune,700,98,263, Today
1459,Dr. Amit Sakaria,General Physician,19,Prudent International Health Clinic,Kalyani Nagar,Pune,600,95,217, Today
1460,Dr. Avdhut G. Bodamwad,General Physician,11,Lopmudra Multi-speciality Hospital,Pirangut,Pune,400,97,76, Today
1461,Dr. Manisha A Gosavi,General Physician,32,Arogya Clinic,Vishrantwadi,Pune,500,97,58, Today
1462,Dr. Pankaj Changedia,General Physician,24,"Mamata Maternity & Heart , Diabetis Care Center",Kharadi,Pune,500,92,105, Today
1463,Dr. Nachiket Mahindrakar,General Physician,16,We Heal Clinic,Baner,Pune,1100,95,174, Today
1464,Dr. Milind Kulkarni,General Physician,18,Kulkarni Clinic,Vishrantwadi,Pune,600,95,99, Today
1465,Dr. Suruchi Mandrekar,General Physician,27,Manipal Hospitals,Baner,Pune,550,95,50, Today
1467,Dr. Yatin Kukreja,General Physician,20,Kukreja Healthcare Clinic,Lajpat Nagar 4,Delhi,650,98,148, Today
1468,Dr. Amarpreet Singh Riar,General Physician,10,Aman Medical Clinic,Dwarka,Delhi,1000,96,505, Today
1469,Dr. Sanchayan Roy,General Physician,25,Health First Wellness Centre,CR Park,Delhi,800,90,88, Today
1470,Dr. Pankaj Kumar,General Physician,16,Diet Plus Minus,Dwarka Sector 9,Delhi,700,96,122, Today
1471,Dr. Paru Sharma,General Physician,31,Dr. Paru Sharma's Clinic,Dwarka Sector 13,Delhi,600,98,87, Today
1472,Dr. Rachna Kucheria,General Physician,31,Kucheria Clinic,Greater Kailash Part 1,Delhi,1600,95,21, Today
1473,Dr. Pramila Srivastava,General Physician,42,Dr. Srivastava's Clinic,Defence Colony,Delhi,500,87,15, Today
1474,Dr. Satbir Singh,General Physician,24,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1300,97,102, Today
1475,Dr. Anil Vardani,General Physician,37,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1800,87,34, Today
1476,Dr. Amitabh Khanna,General Physician,34,Diabetes Speciality Center,Dwarka,Delhi,1000,80,137, Today
1479,Dr. Sandip Rungta,General Physician,23,Mansa Sheel,Beadon Street,Kolkata,700,99,312, Today
1480,Dr. Sushmita Pal,General Physician,12,Get Healthy,New Town,Kolkata,500,95,34, Today
1481,Dr. Shyama Prasad Roy,General Physician,37,Binapani Doctor's Chamber,Jadavpur,Kolkata,700,79,8, Today
1482,Dr. Sourav Dhara,General Physician,13,Allura Aesthestic clinic & Diagnostics,Kolkata Airport,Kolkata,600,100,1, Today
1483,Dr. Saibal Moitra,General Physician,26,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,1000,69,21, Today
1484,Dr. Milan Chhetri,General Physician,39,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,1200,100,3, Today
1485,Dr. Ram Kumar Singh,General Physician,22,IRIS Hospital,Baghajatin,Kolkata,700,100,1, Today
1486,Dr. HIRAK  MAJUMDER,General Physician,31,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,1200,75,2, Today
1487,Dr. Arup Kumar Sahu,General Physician,28,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,1000,100,1, Today
1488,Dr. Soumik Banerjee,General Physician,20,Dr. Soumik Banerjee Clinic,Khardaha,Kolkata,750,100,1, Today
1490,Dr. Sharat Honnatti,General Physician,20,United Medical Center,HSR Layout,Bangalore,750,96,577, Today
1492,Dr. Regina Joseph,General Physician,31,Splendore Aesthetic Clinic,HSR Layout,Bangalore,700,87,64, Today
1494,Dr. Kalaivani,General Physician,24,Sai Thunga Hospitals,HSR Layout,Bangalore,500,85,44, Today
1495,Dr. Girikumar Venati,General Physician,16,Fortis Hospital,Bannerghatta Road,Bangalore,850,91,26, Today
1496,Dr. Karunesh Kumar H S,General Physician,31,Diabliss Medical Centre,Koramangala 6 Block,Bangalore,600,93,270, Today
1497,Dr. Munavvar Sultana Shaikh,Homoeopath,29,MS Homeopathic Medical Centre,Koramangala 6 Block,Bangalore,650,96,104, Today
1498,Dr. Prabha Ramadorai,General Physician,25,Nano Hospitals,Hulimavu,Bangalore,500,89,41, Today
1499,Dr. Manjunath A,Homoeopath,20,Dr Batra's Positive Health Clinic Pvt Ltd,Jayanagar 4 Block,Bangalore,450,88,16, Today
1502,Dr. Ravinder Raju,Homoeopath,25,Positive Homeopathy,Kukatpally,Hyderabad,300,71,4, Today
1503,Dr. B.Suresh Buddha,Homoeopath,17,Positive Homeopathy,Kukatpally,Hyderabad,300,86,3, Today
1504,Dr. Panchagnula Satyanarayana Murthy,Homoeopath,30,Positive Homeopathy,Kachiguda,Hyderabad,300,100,59, Today
1506,Dr. Vijendra Reddy,Homoeopath,20,Positive Homeopathy,Kukatpally,Hyderabad,300,100,1, Today
1507,Dr. Srinivas Jakkinaboina,General Physician,25,MedSurge Clinics,Narsingi,Hyderabad,500,75,1, Today
1508,Dr. K Suganthi,Homoeopath,25,Dr Batra's Positive Health Clinic Pvt Ltd,Dilsukhnagar,Hyderabad,450,100,1, Today
1509,Dr. Venkataramana,Homoeopath,15,Positive Homeopathy,AS Rao Nagar,Hyderabad,300,100,7, Today
1510,Dr. K Sandeep Reddy,General Physician,15,Pro Health Multispecialty Clinic,Manikonda,Hyderabad,500,77,26, Today
1513,Dr. Pravin K Aggarwal,General Physician,42,Fortis Malar Hospital,Adyar,Chennai,700,85,5, Today
1515,Dr. Sheethal Suresh,General Physician,30,Fortis Malar Hospital,Adyar,Chennai,500,80,6, Today
1517,Dr. Nidhi Dube,Homoeopath,14,Dr Batra's Positive Health Clinic Pvt Ltd,Velachery,Chennai,450,100,3, Today
1519,Dr. L Mathuvenkatesan,Homoeopath,24,Dr Batra's Positive Health Clinic Pvt Ltd,Ashok Nagar,Chennai,450,75,4, Today
1525,Dr. Prakash Kumar Jha,Homoeopath,25,Dr Batra's Positive Health Clinic Pvt Ltd,Mira Road,Mumbai,450,92,12, Today
1526,Dr. Komal Dixit,Homoeopath,16,Dr Batra's Positive Health Clinic Pvt Ltd,Ghatkopar East,Mumbai,450,75,14, Today
1527,Dr. Hetal Pabaria,Homoeopath,20,Dr Batra's Positive Health Clinic Pvt Ltd,Mulund West,Mumbai,450,100,7, Today
1528,Dr. Sanjay Shah,General Physician,38,Fortis Hospital,Mulund West,Mumbai,1500,87,10, Today
1529,Dr. Sejal Vivek Parekar,Homoeopath,25,Dr Batra's Positive Health Clinic Pvt Ltd,Borivali West,Mumbai,450,100,1, Today
1530,Dr. Shoibalini Karmokar,General Physician,3,Aceso Health Clinic,Santacruz West,Mumbai,900,95,14, Today
1531,Dr. Saadan  Shahid,Homoeopath,25,Dr Batra's Positive Health Clinic Pvt Ltd,Lokhandwala,Mumbai,450,100,6, Today
1532,Dr. Anshudeep Dodake,General Physician,12,Health Omega Clinic,Parel,Mumbai,500,100,18, Today
1535,Dr. Mahesh M Lakhe,General Physician,20,Dr Lakhe's Healthcare and Research Centre,Kharadi,Pune,700,92,40, Today
1536,Dr. Vaseem Choudhary,Homoeopath,14,Homeo Care Clinic,Hadapsar,Pune,300,92,280, Today
1537,Dr. Geeta N Parwani,Homoeopath,27,Healing Touch Multispeciality Clinic ,Viman Nagar,Pune,800,95,93, Today
1539,Dr. Swati Kulkarni,Homoeopath,22,Panacea Homoeopathic Speciality Center,Magarpatta City,Pune,500,97,39, Today
1540,Dr. Amol L Dange,General Physician,19,Lifetree Healthcare And  Diagnostics,Wakad,Pune,600,89,15, Today
1541,Dr. Rutika Khelkar,Homoeopath,31,Dr Rutika Khelkar Homeopathy Clinic,Aundh,Pune,500,93,10, Today
1543,Dr. Ravi Pratap,General Physician,15,Sirius Wellness And Outreach Medical Services Clinic,Kharadi,Pune,600,99,72, Today
1548,Dr. K.S. Walia,General Physician,49,Walia Medical and Maternity Centre,Sarita Vihar,Delhi,600,90,161, Today
1549,Dr. Yatin Kukreja,General Physician,20,Kukreja Healthcare Clinic,Lajpat Nagar 4,Delhi,650,98,148, Today
1552,Dr. Sunil Kumar Dwivedi,Homoeopath,18,SD Homoeopathy Multispecality Clinic,Dwarka,Delhi,400,93,140, Today
1554,Dr. Sanchayan Roy,General Physician,25,Health First Wellness Centre,CR Park,Delhi,800,90,88, Today
1558,Dr. Supra Paul,Homoeopath,22,Dr Batra's Positive Health Clinic Pvt Ltd,Minto Park,Kolkata,450,100,8, Today
1559,Dr. Abhishek Chaturvedi,Homoeopath,12,Dr Batra's Positive Health Clinic Pvt Ltd,Behala,Kolkata,450,86,6, Today
1560,Dr. Chinmay Mahanta,Homoeopath,19,Dr Batra's Positive Health Clinic Pvt Ltd,Kolkatta,Kolkata,450,100,1, Today
1564,Dr. Shahid Shaikh,Homoeopath,18,Dr Batra's Positive Health Clinic Pvt Ltd,Salt Lake,Kolkata,450,100,1, Today
1566,Dr. Dipayan Das,Homoeopath,12,The Healers,Garia,Kolkata,600,90,18, Today
1569,Dr. Sunil Narayan Dutt,Ear-Nose-Throat (ENT),34,Apollo Hospital,Bannerghatta Road,Bangalore,850,84,9, Today
1570,Dr. Anithakumari AM,Ear-Nose-Throat (ENT),27,Manipal Hospitals Old Airport Road,Old Airport Road,Bangalore,750,93,37, Today
1571,Dr. Prateek Nayak,Ear-Nose-Throat (ENT),19,Aster CMI Hospital,Hebbal,Bangalore,1000,85,23, Today
1572,Dr. Shalina Ray,Ear-Nose-Throat (ENT),24,Manipal Hospitals Old Airport Road,Old Airport Road,Bangalore,750,88,90, Today
1573,Dr. Sumit Kumar Gaur,Ear-Nose-Throat (ENT),13,Apollo Hospital,Bannerghatta Road,Bangalore,850,67,3, Today
1574,Dr. Bathi Reddy,Ear-Nose-Throat (ENT),41,Manipal Hospitals Old Airport Road,Old Airport Road,Bangalore,750,47,21, Today
1575,Dr. Girish Rai B,Ear-Nose-Throat (ENT),33,Manipal Hospitals Old Airport Road,Old Airport Road,Bangalore,750,34,38, Today
1576,Dr. Sashikanth.J,Ear-Nose-Throat (ENT),23,Citizens Speciality Hospitals,Lingampally,Hyderabad,800,88,15, Today
1577,Dr. Manohar Shaan,Ear-Nose-Throat (ENT),32,Nanavati Super Speciality Hospital,Vileparle West,Mumbai,1200,96,103, Today
1578,Dr. Agneesh Patial,Ear-Nose-Throat (ENT),20,Nanavati Super Speciality Hospital,Vileparle West,Mumbai,1300,84,19, Today
1579,Dr. Amol Patil,Ear-Nose-Throat (ENT),19,Nanavati Super Speciality Hospital,Vileparle West,Mumbai,1000,98,169, Today
1580,Dr. Tejas Baijal,Ear-Nose-Throat (ENT),18,Sahyadri Hospital,Kothrud,Pune,300,90,6, Today
1582,Dr. Gita Gangadharan Shrivastav,Ear-Nose-Throat (ENT),35,Max Super Speciality Hospital,Patparganj,Delhi,1000,80,7, Today
1583,Dr. Anurag Tandon,Ear-Nose-Throat (ENT),34,Max Super Speciality Hospital,Patparganj,Delhi,1000,56,28, Today
1584,Dr. Mala Bhattacharjee,Ear-Nose-Throat (ENT),28,Max Super Speciality Hospital,Patparganj,Delhi,800,100,4, Today
1585,Dr. Suven Kalra,Ear-Nose-Throat (ENT),16,Max Super Speciality Hospital,Shalimar Bagh,Delhi,800,50,3, Today
1586,Dr. Anuj Singhal,Ear-Nose-Throat (ENT),31,Max Super Speciality Hospital - Saket East Wing,Saket,Delhi,1500,83,2, Today
1587,Dr. Sharad Maheswari,Ear-Nose-Throat (ENT),41,Max Super Speciality Hospital,Patparganj,Delhi,800,63,19, Today
1588,Dr. Deepti Sinha,Ear-Nose-Throat (ENT),23,Max Super Speciality Hospital,Shalimar Bagh,Delhi,1000,100,1, Today
1589,Dr. D Jijina,Ear-Nose-Throat (ENT),43,Max Super Speciality Hospital - Saket East Wing,Saket,Delhi,1500,94,19, Today
1590,Dr. Ashok Singh,Ear-Nose-Throat (ENT),21,Max Super Speciality Hospital,Patparganj,Delhi,700,82,18, Today
1591,Dr. Sumit Mrig,Ear-Nose-Throat (ENT),21,Max Smart Superspeciality Hospital,Saket,Delhi,1500,85,89, Today
1673,Dr. Sumanth Shetty,Dentist,24,Chisel Dental,Koramangala,Bangalore,500,97,2602, Today
1674,Dr. Pramod,Dentist,19,Dental De Care,Domlur,Bangalore,300,98,173, Today
1675,Dr. Rashmi Shetty,Dentist,18,Chisel Dental,Koramangala,Bangalore,500,99,2690, Today
1676,Dr. Jaswanth Reddy,Dentist,17,SSR Multispeciality Dental Clinic,Marathahalli,Bangalore,500,96,19, Today
1677,Dr. Krishnanand,Dentist,12,Royal Smiles Multi Speciality Dental and Facial Aesthetics Centre,Varthur,Bangalore,200,100,1160, Today
1678,Dr. Mahantesh,Dentist,15,Smile Care Orthodontic Center & Multispeciality Dental Clinic,Sarjapur Road,Bangalore,550,99,586, Today
1679,Dr. T. Ramakrishna,Dentist,25,Dental Profiles,JP Nagar 5 Phase,Bangalore,500,95,362, Today
1680,Dr. M. R. Pujari,Dentist,17,32 Smiles Multispeciality Dental Clinic,Marathahalli,Bangalore,500,96,1424, Today
1681,Dr. Abhinav Diwan,Dentist,24,Family Dental Care & Implant Center,Horamavu,Bangalore,500,99,148, Today
1682,Dr. Sowmya,Dentist,19,32t Dental Clinic,New BEL Road,Bangalore,500,98,51, Today
1684,Dr. Sameer A.Mahendra,Dentist,24,Udai Omni Hospital,Chapel Road,Hyderabad,700,100,1, Today
1685,Dr. Naresh.S,Dentist,13,Clove Dental,Kukatpally,Hyderabad,500,100,1, Today
1686,Dr. P.Vijaya Kumar,Dentist,15,Clove Dental,Vikrampuri Colony,Hyderabad,500,100,1, Today
1687,Dr. Harshita Shareef,Dentist,19,Clove Dental,Kondapur,Hyderabad,500,94,7, Today
1688,Dr. Vadiraj,Dentist,15,Clove Dental,Vikrampuri Colony,Hyderabad,500,67,1, Today
1689,Dr. Sushma Reddy,Dentist,22,Clove Dental,Jubilee Hills,Hyderabad,750,86,6, Today
1690,Dr. Neharika Juneja,Dentist,13,Clove Dental,Miyapur,Hyderabad,500,100,1, Today
1691,Dr. Jahnavi,Dentist,7,Clove Dental,Kukatpally,Hyderabad,500,100,8, Today
1692,Dr. Priyanka M,Dentist,11,Clove Dental,Miyapur,Hyderabad,500,67,4, Today
1693,Dr. Vamsi Krishna Ch,Dentist,15,Clove Dental,Malkajgiri,Hyderabad,500,100,1, Today
1695,Dr. Subramoniam S,Dentist,20,Lakshmi Dental Care,Porur,Chennai,500,100,229, Today
1696,Dr. M.Srikanth,Dentist,22,Smile Solutions Family Dentistry,Perungudi,Chennai,500,98,585, Today
1697,Dr. M. Suresh,Dentist,11,M.S Multi Speciality Dental Clinic,Perumbakkam,Chennai,500,99,324, Today
1698,Dr. Prem Kumar,Dentist,16,Just Smile Dental & ENT Specialities,Madipakkam,Chennai,500,97,48, Today
1699,Dr. Mareeswari,Dentist,15,A2Z Dental Care,Pallikaranai,Chennai,500,99,164, Today
1700,Dr. N Sankar Ram Mithran,Dentist,15,Dr. Mithran's Multispeciality Dental Clinic,Chromepet,Chennai,500,98,113, Today
1701,Dr. Balajee. J,Dentist,11,Elite Dentistry,Anna Nagar West,Chennai,500,100,18, Today
1702,Dr. Saravanan,Dentist,15,Balamurugan Dental Clinic,Mylapore,Chennai,500,98,100, Today
1703,Dr. V.K.Vignesh,Dentist,7,VIGNESH'S DENTAL ZONE,Gowrivakkam,Chennai,150,100,84, Today
1704,Dr. Senthil Kumaran,Dentist,16,Dentall Care,Adambakkam,Chennai,300,99,113, Today
